glyph_name,ps_name,sort_design,sort_final,USV,in_docs,doc_name,doc_uni,frame_l,frame_r1,frame_r2
threeblackcircle,uni2778,75,75,2778,D,DINGBAT NEGATIVE CIRCLED DIGIT THREE,,,,
fourblackcircle,uni2779,76,76,2779,D,DINGBAT NEGATIVE CIRCLED DIGIT FOUR,,,,
fiveblackcircle,uni277A,77,77,277A,D,DINGBAT NEGATIVE CIRCLED DIGIT FIVE,,,,
sixblackcircle,uni277B,78,78,277B,D,DINGBAT NEGATIVE CIRCLED DIGIT SIX,,,,
sevenblackcircle,uni277C,79,79,277C,D,DINGBAT NEGATIVE CIRCLED DIGIT SEVEN,,,,
eightblackcircle,uni277D,80,80,277D,D,DINGBAT NEGATIVE CIRCLED DIGIT EIGHT,,,,
nineblackcircle,uni277E,81,81,277E,D,DINGBAT NEGATIVE CIRCLED DIGIT NINE,,,,
tenblackcircle,uni277F,82,82,277F,D,DINGBAT NEGATIVE CIRCLED NUMBER TEN,,,,
topleftHalfBracket,uni2E22,83,83,2E22,D,TOP LEFT HALF BRACKET,,,,
toprightHalfBracket,uni2E23,84,84,2E23,D,TOP RIGHT HALF BRACKET,,,,
bottomleftHalfBracket,uni2E24,85,85,2E24,D,BOTTOM LEFT HALF BRACKET,,,,
bottomrightHalfBracket,uni2E25,86,86,2E25,D,BOTTOM RIGHT HALF BRACKET,,,,
tripledagger,uni2E4B,87,87,2E4B,D,TRIPLE DAGGER,,,,
refasc,uniE0B1,88,88,E0B1,D,size reference - ascender,,,,
refdesc,uniE0B2,89,89,E0B2,D,size reference - descender,,,,
refuc,uniE0B3,90,90,E0B3,D,size reference - uppercase,,,,
refbox,uniE0B4,91,91,E0B4,D,size reference - box,,,,
sidebearingleft,uniF130,92,92,F130,D,size reference - left side bearing,,,,
sidebearingright,uniF131,93,93,F131,D,size reference - right side bearing,,,,
_blackCircledComp,_blackCircledComp,94,94,,,,,,,
_circledComp,_circledComp,95,95,,,,,,,
